scaf1 24051684 24052849 lg5 8074579 8075611 nlinks=1,bsize1=1166,bsize2=1033,bidentity1=0.2821612349,bidentity2=0.3184898354,depth1=0,depth2=0,color=lg5
scaf1 27798382 27798948 lg5 9408897 9409561 nlinks=1,bsize1=567,bsize2=665,bidentity1=0.4567901234,bidentity2=0.3894736842,depth1=0,depth2=0,color=lg5
scaf1 48628039 48628357 lg5 5048121 5048438 nlinks=1,bsize1=319,bsize2=318,bidentity1=0.6645768025,bidentity2=0.6666666666,depth1=0,depth2=0,color=lg5
scaf1 67983815 67984073 lg5 6741200 6741469 nlinks=1,bsize1=259,bsize2=270,bidentity1=0.7220077220,bidentity2=0.6925925925,depth1=0,depth2=0,color=lg5
scaf1 16390917 16391419 lg5 8807088 8807469 nlinks=1,bsize1=503,bsize2=382,bidentity1=0.3896620278,bidentity2=0.5130890052,depth1=0,depth2=0,color=lg5
scaf1 24408885 24409528 lg5 8157102 8157764 nlinks=1,bsize1=644,bsize2=663,bidentity1=0.2810559006,bidentity2=0.2730015082,depth1=0,depth2=0,color=lg5
scaf1 48683947 48684190 lg5 5036476 5036728 nlinks=1,bsize1=244,bsize2=253,bidentity1=0.7008196721,bidentity2=0.6758893280,depth1=0,depth2=0,color=lg5
scaf1 60286779 60288163 lg5 12333438 12334824 nlinks=1,bsize1=1385,bsize2=1387,bidentity1=0.1133574007,bidentity2=0.1131939437,depth1=0,depth2=0,color=lg5
scaf1 47184458 47191554 lg5 12893213 12900394 nlinks=1,bsize1=7097,bsize2=7182,bidentity1=0.0242355925,bidentity2=0.0239487607,depth1=0,depth2=0,color=lg5
scaf1 54278854 54279200 lg5 6301877 6302322 nlinks=1,bsize1=347,bsize2=446,bidentity1=0.4726224783,bidentity2=0.3677130044,depth1=0,depth2=0,color=lg5
scaf1 47464358 47464673 lg5 12846762 12847046 nlinks=1,bsize1=316,bsize2=285,bidentity1=0.4462025316,bidentity2=0.4947368421,depth1=0,depth2=0,color=lg5
scaf1 37802647 37803322 lg5 9696446 9696936 nlinks=1,bsize1=676,bsize2=491,bidentity1=0.2381656804,bidentity2=0.3279022403,depth1=0,depth2=0,color=lg5
scaf1 48669174 48669361 lg5 5039767 5039944 nlinks=1,bsize1=188,bsize2=178,bidentity1=0.7180851063,bidentity2=0.7584269662,depth1=0,depth2=0,color=lg5
scaf1 47088225 47088443 lg5 12908191 12908408 nlinks=1,bsize1=219,bsize2=218,bidentity1=0.5799086757,bidentity2=0.5825688073,depth1=0,depth2=0,color=lg5
scaf1 16344327 16344820 lg5 8805857 8806282 nlinks=1,bsize1=494,bsize2=426,bidentity1=0.2773279352,bidentity2=0.3215962441,depth1=0,depth2=0,color=lg5
scaf1 54001070 54001235 lg5 6369204 6369370 nlinks=1,bsize1=166,bsize2=167,bidentity1=0.7530120481,bidentity2=0.7485029940,depth1=0,depth2=0,color=lg5
scaf1 48072320 48072459 lg5 5215178 5215317 nlinks=1,bsize1=140,bsize2=140,bidentity1=0.8785714285,bidentity2=0.8785714285,depth1=0,depth2=0,color=lg5
scaf1 47217437 47217697 lg5 12896544 12896805 nlinks=1,bsize1=261,bsize2=262,bidentity1=0.4636015325,bidentity2=0.4618320610,depth1=0,depth2=0,color=lg5
scaf1 16114511 16116077 lg5 8738862 8740432 nlinks=1,bsize1=1567,bsize2=1571,bidentity1=0.0925335035,bidentity2=0.0922978994,depth1=0,depth2=0,color=lg5
scaf1 15499572 15499680 lg3 30692107 30692215 nlinks=1,bsize1=109,bsize2=109,bidentity1=0.9908256880,bidentity2=0.9908256880,depth1=0,depth2=0,color=lg3
scaf1 47246616 47246854 lg5 12879243 12879475 nlinks=1,bsize1=239,bsize2=233,bidentity1=0.4560669456,bidentity2=0.4678111587,depth1=0,depth2=0,color=lg5
scaf1 48688539 48688756 lg5 5031099 5031336 nlinks=1,bsize1=218,bsize2=238,bidentity1=0.5045871559,bidentity2=0.4621848739,depth1=0,depth2=0,color=lg5
scaf1 15499574 15499680 lg3 30912382 30912488 nlinks=1,bsize1=107,bsize2=107,bidentity1=0.9906542056,bidentity2=0.9906542056,depth1=0,depth2=0,color=lg3
scaf1 56258900 56259028 lg5 11224827 11224955 nlinks=1,bsize1=129,bsize2=129,bidentity1=0.8217054263,bidentity2=0.8217054263,depth1=0,depth2=0,color=lg5
scaf1 15499574 15499680 lg3 122179 122285 nlinks=1,bsize1=107,bsize2=107,bidentity1=0.9906542056,bidentity2=0.9906542056,depth1=0,depth2=0,color=lg3
scaf1 8573295 8573500 lg5 3383977 3384182 nlinks=1,bsize1=206,bsize2=206,bidentity1=0.5097087378,bidentity2=0.5097087378,depth1=0,depth2=0,color=lg5
scaf1 48117922 48118041 lg5 5204183 5204302 nlinks=1,bsize1=120,bsize2=120,bidentity1=0.8666666666,bidentity2=0.8666666666,depth1=0,depth2=0,color=lg5
scaf1 9415024 9415681 lg5 2585135 2585794 nlinks=1,bsize1=658,bsize2=660,bidentity1=0.1671732522,bidentity2=0.1666666666,depth1=0,depth2=0,color=lg5
scaf1 10193481 10193765 lg5 4896698 4896988 nlinks=1,bsize1=285,bsize2=291,bidentity1=0.3649122807,bidentity2=0.3573883161,depth1=0,depth2=0,color=lg5
scaf1 16578701 16578966 lg5 8857894 8858087 nlinks=1,bsize1=266,bsize2=194,bidentity1=0.4248120300,bidentity2=0.5824742268,depth1=0,depth2=0,color=lg5
scaf1 47438089 47438295 lg5 12850523 12850722 nlinks=1,bsize1=207,bsize2=200,bidentity1=0.5024154589,bidentity2=0.5200000000,depth1=0,depth2=0,color=lg5
